,RT_high,RT_high_1,RT_low,RT_no,ACC_high,ACC_high_1,ACC_low,ACC_no,prolific_participant_id,
23,852.9146341,977.3333333,852.3918919,837.5090909,0.933333333,0.9,0.95,0.916666667,591d739a40c1b400019a2905,
39,900.2705882,826.2,923.9054054,861.0185185,0.966666667,1,0.9625,0.95,59d5888d21977e0001d630f3,1
43,697.5783133,670.5,694.4722222,656.7068966,0.955555556,1,0.9125,1,59d793bbcfaf74000161143e,
28,708.255814,686.6,679.3947368,651.3571429,0.988888889,1,1,0.95,5e2720de173db496168318c6,1
22,718.3432836,866,798.2089552,776.4150943,0.777777778,0.9,0.85,0.916666667,5ed8e10d54fe053fbc756c72,
30,1016.860465,941.2,966.5194805,917.7678571,0.966666667,1,1,0.966666667,5f6280e896ef951aca58fdc3,
8,830.7682927,974.7777778,941.7260274,870.8965517,0.944444444,0.9,0.925,0.983333333,5f8739ae0483431242e11d41,
13,812.6117647,844.4444444,899.4473684,800.2727273,0.966666667,0.9,0.975,0.933333333,5fbc1367373b9307763985c0,1
34,964.872093,1017,1009.454545,871.1724138,0.988888889,1,0.975,1,5fd96b1bcffb0b4807be2ed6,1
49,1056.611765,1129.2,987.6666667,882.8269231,0.988888889,1,0.9375,0.916666667,5ff1be724cfb7d137e366235,
4,805.6627907,1066.5,853.9324324,796.1929825,0.988888889,0.9,0.9375,0.966666667,60087f89ba0c184c6d305af9,
19,830.3214286,966.4,877.6184211,844.9824561,0.966666667,1,0.975,0.966666667,6039301619f2633730d2a3a5,
14,848.9294118,850,825.7532468,746.4727273,0.955555556,0.9,0.9875,0.933333333,605732e50afa43bd03cbf035,
54,841.325,868.8888889,836.4788732,776.5272727,0.922222222,0.9,0.9125,0.983333333,608c7fe82e077d3c9c96ccf1,
0,929.3703704,934.9,888.6619718,848.1551724,0.922222222,1,0.9375,1,60b70dafdb9c3619626ba7a1,
36,1025.974359,1147.285714,1121.666667,957.4545455,0.911111111,0.7,0.825,0.966666667,60b8db5feb283b86cce8de9f,
16,835.1818182,716.6,806.0133333,740.2931034,1,1,0.9625,1,60bd004a31845ac6e7e2c9db,
9,1182.36,1259.75,1203.46875,1172.25,0.844444444,0.8,0.8125,0.883333333,60c4f5dba71deb4261ea8e39,1
52,846.6049383,793,900.8666667,803.5535714,0.922222222,1,0.95,0.983333333,60d64a858ac8cd7015ae3492,1
7,1396.357143,1748,1432.013333,1419.867925,0.944444444,0.9,0.95,0.9,60e0773fd354bb0e662b6771,1
5,739.2873563,682.1,783.2631579,716.4310345,0.988888889,1,0.975,1,60ebbdd7a4f2acdb9a9769e5,
2,955.7875,958.6666667,894.25,880.559322,0.922222222,0.9,1,1,60f2251cc696183c77b7aa05,
35,832.56,1026.3,846.6338028,832.6181818,0.844444444,1,0.9125,0.95,60f2d82a20a376f39feb6912,
40,987.7356322,1004,986,917.0689655,0.966666667,0.8,0.9875,0.983333333,60f78076ce7f33511c38ebf3,
38,1008.886076,1000.9,1030.173333,1019.821429,0.922222222,1,0.975,0.966666667,60fc5c6a4269d6b01f8744d3,
10,941.0365854,950.1111111,948.3380282,942.0862069,0.922222222,0.9,0.9125,1,60fc717746b9c8d275ebcce7,
11,908.8101266,885.4444444,940.0133333,882.8301887,0.911111111,0.9,0.975,0.916666667,60fc7e0418744056f207c3ca,
6,1039.891566,1150,1016.776316,1030.769231,0.955555556,1,0.9875,0.883333333,60fcda61bb9779ae53d24fe4,1
29,1175.360465,1224.5,1090.635135,1031.775862,0.966666667,1,0.9375,0.983333333,60fce012fb6afc3c874918ec,1
20,839.4761905,772.7,891.6756757,743.5178571,0.955555556,1,0.95,0.966666667,60fce0bef64ee00be89e5d0c,
53,899.3658537,849.9,982.8666667,872.2264151,0.933333333,1,0.9625,0.916666667,60fce920666181be9735cd49,
3,776.0238095,786.6,746.8552632,763.5357143,0.944444444,1,0.975,0.983333333,60fcf2d9220a47c4c72bce7d,
57,764.1818182,803.25,796.556962,764.1578947,0.988888889,0.9,1,0.983333333,60fd043aee7fe3166c9490d3,
25,805.1954023,927.4,836.1917808,857.8727273,0.988888889,1,0.95,0.95,60fd1ff675f39e778dc37e73,
59,872.6823529,1096.5,889.6216216,793.5714286,0.966666667,1,0.9625,0.966666667,60fd201eafb410f32682489c,1
21,693.3855422,673.625,683.3918919,682.9636364,0.966666667,0.9,0.975,0.933333333,60fd276afbe1c81b14fd3611,1
46,655.2142857,642.375,660.7454545,613.6938776,0.811111111,0.8,0.7,0.85,60fd55f559e7795b518f7438,
33,694.8863636,778.7,722.0526316,689.8965517,0.988888889,1,0.9875,1,60fdf254d7cf63001528e2a9,
50,802.6404494,828.2,817.8831169,761.3818182,1,1,0.975,0.966666667,60fe18baa4c353a8adaa9bcb,
17,1049.506329,1007.333333,967.173913,844.8703704,0.9,0.9,0.9125,0.916666667,60febc18cd038bc135043084,
32,924.5402299,834.6666667,1061.311688,832.862069,1,0.9,1,1,60fec5dbe398075bf25e95a6,1
18,892.2045455,985.2,886.7702703,864.2982456,1,1,0.975,0.983333333,60fed0f8f0e650c3f83c91a3,
37,1025.012821,1014.6,1025.184211,901.3448276,0.9,1,0.9625,1,610c049b89dac6a90e0d072a,
24,1261.777778,1330.444444,1202.5,1017.777778,0.933333333,0.9,0.9,0.933333333,6110d75f4cfd0b62e7d2e13c,
55,909.3488372,1002.75,934.9722222,869.3703704,0.966666667,0.8,0.9375,0.933333333,6113d593b51f3ba3ecc07a76,1
58,765.8953488,796.6,768.5324675,699.5272727,0.977777778,1,0.9875,0.95,61154c699e17bf9531221d9f,
44,743.3095238,656.1111111,718.5394737,703.2105263,0.966666667,1,0.9875,0.966666667,6116241c13cf4797256b813c,
26,834.3205128,733.7777778,814.3055556,828.9090909,0.888888889,0.9,0.9375,0.933333333,6124bc2ab4a7042465e1f558,
27,769.7647059,815.7,843.4666667,741.7755102,0.955555556,1,0.9625,0.85,612505db1b9ee34d76686d2b,
31,869.8395062,942,850.9166667,768.2807018,0.933333333,1,0.925,0.983333333,6126283722c87c2d9e10f679,
42,970.9506173,879.8,1055.471429,1005.5,0.955555556,1,0.8875,0.983333333,612ebddc643b39a4342de819,
45,747.8734177,739,718.0140845,682.6206897,0.911111111,0.9,0.9125,0.983333333,61327318da83edb47b6f9525,
12,930.304878,1062,999.1232877,1008.490566,0.966666667,1,0.925,0.933333333,613a37819b27acb95e432628,
48,870.6615385,843,884.5714286,911.1904762,0.733333333,0.8,0.8375,0.7,613a9700bf01a93d7008c3f7,1
1,861.2753623,944.5,886.765625,905.625,0.811111111,1,0.825,0.8,613ad2dca28edcb436ce5731,
47,1174.506024,1095.777778,1123.422535,998.7678571,0.944444444,0.9,0.9,0.95,613b10510ef09634590eada2,
41,866.1724138,984.4,945.92,859.9491525,0.988888889,1,0.975,1,6140bea1dc1179e374160d83,1
51,836,936.8,890.3421053,755.7857143,0.988888889,1,0.975,0.966666667,6141d61c189d7b0ffbc6477a,1
,740.3209877,714.6666667,712.08,767.2545455,0.933333333,1,0.9625,0.95,22821,
,797.5909091,714,785.04,721.537037,1,0.7,0.9625,0.95,22621,
